"delta","ngen","ordering","kval","dataset"
123449676.8,54,10,20,"Pangenome"
123588620.8,55,10,20,"Pangenome"
123683660.8,56,10,20,"Pangenome"
109299571.2,1,11,20,"Pangenome"
111820672,2,11,20,"Pangenome"
113114342.4,3,11,20,"Pangenome"
113999795.2,4,11,20,"Pangenome"
114710579.2,5,11,20,"Pangenome"
115213670.4,6,11,20,"Pangenome"
115603136,7,11,20,"Pangenome"
116069491.2,8,11,20,"Pangenome"
116498982.4,9,11,20,"Pangenome"
116772198.4,10,11,20,"Pangenome"
117150080,11,11,20,"Pangenome"
117363136,12,11,20,"Pangenome"
117557350.4,13,11,20,"Pangenome"
117878336,14,11,20,"Pangenome"
118041753.6,15,11,20,"Pangenome"
118339353.6,16,11,20,"Pangenome"
118470195.2,17,11,20,"Pangenome"
118583808,18,11,20,"Pangenome"
118834880,19,11,20,"Pangenome"
118954649.6,20,11,20,"Pangenome"
119224294.4,21,11,20,"Pangenome"
119440870.4,22,11,20,"Pangenome"
119648640,23,11,20,"Pangenome"
119767577.6,24,11,20,"Pangenome"
119867776,25,11,20,"Pangenome"
119953177.6,26,11,20,"Pangenome"
120049395.2,27,11,20,"Pangenome"
120273971.2,28,11,20,"Pangenome"
120474380.8,29,11,20,"Pangenome"
120651033.6,30,11,20,"Pangenome"
120816576,31,11,20,"Pangenome"
120902272,32,11,20,"Pangenome"
120988070.4,33,11,20,"Pangenome"
121173836.8,34,11,20,"Pangenome"
121226124.8,35,11,20,"Pangenome"
121295628.8,36,11,20,"Pangenome"
121458956.8,37,11,20,"Pangenome"
121600140.8,38,11,20,"Pangenome"
121747648,39,11,20,"Pangenome"
121899827.2,40,11,20,"Pangenome"
121978406.4,41,11,20,"Pangenome"
122114150.4,42,11,20,"Pangenome"
122264793.6,43,11,20,"Pangenome"
122423718.4,44,11,20,"Pangenome"
122472307.2,45,11,20,"Pangenome"
122611430.4,46,11,20,"Pangenome"
122740224,47,11,20,"Pangenome"
122865638.4,48,11,20,"Pangenome"
122981056,49,11,20,"Pangenome"
123052992,50,11,20,"Pangenome"
123166169.6,51,11,20,"Pangenome"
123233715.2,52,11,20,"Pangenome"
123332966.4,53,11,20,"Pangenome"
123457664,54,11,20,"Pangenome"
123567897.6,55,11,20,"Pangenome"
123683660.8,56,11,20,"Pangenome"
109271206.4,1,12,20,"Pangenome"
111315801.6,2,12,20,"Pangenome"
112850252.8,3,12,20,"Pangenome"
113841011.2,4,12,20,"Pangenome"
114589273.6,5,12,20,"Pangenome"
115174220.8,6,12,20,"Pangenome"
115652902.4,7,12,20,"Pangenome"
116115737.6,8,12,20,"Pangenome"
116408268.8,9,12,20,"Pangenome"
116659840,10,12,20,"Pangenome"
117062566.4,11,12,20,"Pangenome"
117402790.4,12,12,20,"Pangenome"
117733529.6,13,12,20,"Pangenome"
118034444.8,14,12,20,"Pangenome"
118180019.2,15,12,20,"Pangenome"
118443712,16,12,20,"Pangenome"
118697318.4,17,12,20,"Pangenome"
118961984,18,12,20,"Pangenome"
119189312,19,12,20,"Pangenome"
119321356.8,20,12,20,"Pangenome"
119456614.4,21,12,20,"Pangenome"
119570534.4,22,12,20,"Pangenome"
119787814.4,23,12,20,"Pangenome"
119920204.8,24,12,20,"Pangenome"
120128460.8,25,12,20,"Pangenome"
120230963.2,26,12,20,"Pangenome"
120330496,27,12,20,"Pangenome"
120428595.2,28,12,20,"Pangenome"
120605913.6,29,12,20,"Pangenome"
120697254.4,30,12,20,"Pangenome"
120761868.8,31,12,20,"Pangenome"
120931737.6,32,12,20,"Pangenome"
121105894.4,33,12,20,"Pangenome"
121189235.2,34,12,20,"Pangenome"
121352486.4,35,12,20,"Pangenome"
121531366.4,36,12,20,"Pangenome"
121671065.6,37,12,20,"Pangenome"
121756019.2,38,12,20,"Pangenome"
121900864,39,12,20,"Pangenome"
122050931.2,40,12,20,"Pangenome"
122186752,41,12,20,"Pangenome"
122260710.4,42,12,20,"Pangenome"
122379148.8,43,12,20,"Pangenome"
122452224,44,12,20,"Pangenome"
122578355.2,45,12,20,"Pangenome"
122711641.6,46,12,20,"Pangenome"
122847756.8,47,12,20,"Pangenome"
122902310.4,48,12,20,"Pangenome"
123017280,49,12,20,"Pangenome"
123133619.2,50,12,20,"Pangenome"
123248896,51,12,20,"Pangenome"
123358988.8,52,12,20,"Pangenome"
123458432,53,12,20,"Pangenome"
123522086.4,54,12,20,"Pangenome"
123607961.6,55,12,20,"Pangenome"
123683660.8,56,12,20,"Pangenome"
109266368,1,13,20,"Pangenome"
111767257.6,2,13,20,"Pangenome"
113058406.4,3,13,20,"Pangenome"
113946278.4,4,13,20,"Pangenome"
114547942.4,5,13,20,"Pangenome"
115168729.6,6,13,20,"Pangenome"
115560755.2,7,13,20,"Pangenome"
116047283.2,8,13,20,"Pangenome"
116503654.4,9,13,20,"Pangenome"
116900697.6,10,13,20,"Pangenome"
117162841.6,11,13,20,"Pangenome"
117484940.8,12,13,20,"Pangenome"
117822694.4,13,13,20,"Pangenome"
118116608,14,13,20,"Pangenome"
118303884.8,15,13,20,"Pangenome"
118438028.8,16,13,20,"Pangenome"
118581760,17,13,20,"Pangenome"
118704012.8,18,13,20,"Pangenome"
118828953.6,19,13,20,"Pangenome"
119087219.2,20,13,20,"Pangenome"
119314073.6,21,13,20,"Pangenome"
119430272,22,13,20,"Pangenome"
119648704,23,13,20,"Pangenome"
119858982.4,24,13,20,"Pangenome"
120071680,25,13,20,"Pangenome"
120270208,26,13,20,"Pangenome"
120359232,27,13,20,"Pangenome"
120446963.2,28,13,20,"Pangenome"
120628147.2,29,13,20,"Pangenome"
120818867.2,30,13,20,"Pangenome"
120975641.6,31,13,20,"Pangenome"
121067865.6,32,13,20,"Pangenome"
121236480,33,13,20,"Pangenome"
121387353.6,34,13,20,"Pangenome"
121554892.8,35,13,20,"Pangenome"
121709926.4,36,13,20,"Pangenome"
121794649.6,37,13,20,"Pangenome"
